In total 4000 tracked data
99.95 collected 0
final reward is -1.1855741250046994
simulation end at 7000
         12866696 function calls (12852007 primitive calls) in 12.440 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.000    0.000    0.022    0.000 decorators.py:21(not_implemented_for)
        1    0.000    0.000    0.022    0.022 pyparsing.py:96(<module>)
        1    0.000    0.000    0.022    0.022 core.py:164(load_base_library)
        1    0.000    0.000    0.022    0.022 core.py:196(read_style_directory)
     2222    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.021    0.021 pyparsing.py:5399(pyparsing_common)
        1    0.001    0.001    0.021    0.021 __init__.py:58(<module>)
    28000    0.021    0.000    0.021    0.000 Data.py:8(__init__)
      316    0.001    0.000    0.021    0.000 overrides.py:166(decorator)
    84019    0.021    0.000    0.021    0.000 coreviews.py:50(__getitem__)
      616    0.002    0.000    0.021    0.000 __init__.py:1312(safe_version)
        1    0.000    0.000    0.021    0.021 geometric.py:2(<module>)
   140006    0.021    0.000    0.021    0.000 core.py:114(now)
      528    0.000    0.000    0.020    0.000 re.py:182(search)
       26    0.000    0.000    0.020    0.001 __init__.py:859(rc_params_from_file)
       12    0.000    0.000    0.020    0.002 pyparsing.py:4251(__init__)
    36/11    0.000    0.000    0.020    0.002 pyparsing.py:3743(leaveWhitespace)
        1    0.000    0.000    0.020    0.020 __init__.py:124(<module>)
        1    0.000    0.000    0.019    0.019 _pickle.py:1(<module>)
   131/65    0.000    0.000    0.019    0.000 pyparsing.py:3363(copy)
    61/11    0.000    0.000    0.019    0.002 pyparsing.py:3288(leaveWhitespace)
    10239    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
   121232    0.019    0.000    0.019    0.000 base.py:176(capacity)
   131/65    0.016    0.000    0.018    0.000 pyparsing.py:3365(<listcomp>)
       60    0.000    0.000    0.018    0.000 __init__.py:1416(get_metadata_lines)
       61    0.000    0.000    0.018    0.000 pyparsing.py:3292(<listcomp>)
        1    0.000    0.000    0.018    0.018 _internal.py:6(<module>)
       60    0.000    0.000    0.018    0.000 __init__.py:1403(get_metadata)
        1    0.000    0.000    0.018    0.018 __init__.py:93(<module>)
 1468/224    0.007    0.000    0.018    0.000 sre_compile.py:71(_compile)
     2360    0.003    0.000    0.017    0.000 __init__.py:2067(dist_factory)
       60    0.001    0.000    0.017    0.000 __init__.py:1610(_get)
        4    0.000    0.000    0.017    0.004 __init__.py:3(<module>)
